name,s_price,o_price,rating,rating_count
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"13,066 Ratings & 1,860 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"13,066 Ratings & 1,860 Reviews"
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with 2022 Model,"₹13,490","₹18,900",4.3,"70,154 Ratings & 6,232 Reviews"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999","₹24,999",4.4,"3,23,612 Ratings & 30,752 Reviews"
Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV,"₹8,999","₹16,999",4.2,"8,481 Ratings & 1,271 Reviews"
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹15,999","₹21,999",4.3,"1,33,812 Ratings & 12,343 Reviews"
realme NEO 80 cm (32 inch) HD Ready LED Smart Linux TV,"₹11,999","₹21,999",4.3,"33,754 Ratings & 2,958 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8,"13,066 Ratings & 1,860 Reviews"
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,"₹13,990","₹21,990",4.4,"48,203 Ratings & 4,321 Reviews"
OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹24,999","₹31,999",4.3,"1,33,812 Ratings & 12,343 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"13,066 Ratings & 1,860 Reviews"
XElectron Android 11 80 cm (32 inch) HD Ready LED Smart Android TV,"₹8,540","₹19,999",,
SAMSUNG Crystal 4K Pro 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,"₹31,990","₹54,900",4.4,"14,222 Ratings & 1,527 Reviews"
iFFALCON by TCL K61 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹18,499","₹47,990",4.3,"23,455 Ratings & 3,184 Reviews"
Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design,"₹8,499","₹14,999",4.5,"6,231 Ratings & 1,123 Reviews"
Mi 5A 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹23,999","₹35,999",4.4,"3,23,612 Ratings & 30,752 Reviews"
"Dyanora 108 cm (43 inch) Full HD LED Smart Android Based TV with Noise Reduction, Android 9.0, Google ...","₹15,999","₹32,999",4.1,"3,682 Ratings & 476 Reviews"
"Dyanora 109 cm (43 inch) Full HD LED Smart Android TV with Noise Reduction, Android 9.0, Google Voice ...","₹16,649","₹32,999",4.1,"3,682 Ratings & 476 Reviews"
MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV,"₹5,499","₹14,999",4.2,"1,243 Ratings & 147 Reviews"
iFFALCON by TCL K61 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,"₹28,499","₹70,990",4.3,"23,455 Ratings & 3,184 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,599","₹12,499",4.1,"3,682 Ratings & 476 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹5,599","₹10,999",4.1,"3,682 Ratings & 476 Reviews"
Vu Premium TV 80 cm (32 inch) HD Ready LED Smart Linux TV with Bezel-Less Frame,"₹10,499","₹20,000",4.2,"7,360 Ratings & 808 Reviews"
OnePlus Y1 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio,"₹21,999","₹27,999",4.3,"1,33,812 Ratings & 12,343 Reviews"
,,,,
,,,,
Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Atmos,"₹31,999","₹49,999",4.3,"48,681 Ratings & 4,453 Reviews"
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and 30W Dolby Audio ...,"₹28,999","₹42,999",4.3,"3,214 Ratings & 304 Reviews"
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"13,066 Ratings & 1,860 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,799","₹12,999",3.8,"13,066 Ratings & 1,860 Reviews"
Vu Premium 108 cm (43 inch) Full HD LED Smart Linux TV,"₹18,999","₹35,000",4.2,"7,360 Ratings & 808 Reviews"
MOTOROLA Revou 2 80 cm (32 inch) HD Ready LED Smart Android TV with Sound by boAt,"₹11,999","₹20,000",4.3,"1,629 Ratings & 235 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8,"13,066 Ratings & 1,860 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"13,066 Ratings & 1,860 Reviews"
Thomson 9R PRO 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹19,999","₹33,999",4.3,"13,988 Ratings & 3,281 Reviews"
Vu GloLED 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 104W,"₹33,999","₹55,000",4.4,"4,559 Ratings & 758 Reviews"
Mi X Series 125 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Audio (2...,"₹34,999","₹44,999",4.3,"3,214 Ratings & 304 Reviews"
OnePlus U1S 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,"₹42,999","₹59,999",4.4,"13,406 Ratings & 1,406 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"13,066 Ratings & 1,860 Reviews"
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹14,499","₹29,999",3.9,66 Ratings & 8 Reviews
SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,"₹30,990","₹52,900",4.3,"11,220 Ratings & 1,146 Reviews"
