title,source,summary
"India vs England: ICC T20 World Cup 2022 Live Cricket Score, Live Score Of Today's Match on NDTV Sports","NDTVSports   | Thursday November 10, 2022                                                        
                                                        ","Live Updates of Today Match between India vs England from Adelaide Oval, Adelaide. Check commentary and full scoreboard of the match."
"CBSE 10th, 12th Datesheet 2023: Release Date And Time","
															Edited by Arnab Mitra  | Thursday November 10, 2022                                                        
                                                        ","CBSE 10th, 12th Exams 2023: The CBSE Class 10, 12 exam schedule once released, will be available on the official websites- cbse.gov.in, cbseacademic.nic.in"
"Jagdish Tytler In Congress Committee For Delhi Civic Polls, BJP Objects","NDTV News Desk   | Thursday November 10, 2022, New Delhi                                                        
                                                        ",BJP objects to Congress inducting 1984-riots accused Jagdish Tytler in their committee for Delhi municipal polls
"India vs England: ICC T20 World Cup 2022 Live Cricket Score, Live Score Of Today's Match on NDTV Sports","NDTVSports   | Thursday November 10, 2022                                                        
                                                        ","Live Updates of Today Match between India vs England from Adelaide Oval, Adelaide. Check commentary and full scoreboard of the match."
Viral Video: Woman Born Without Nose Bone Shows Its Flexibility,"
															Edited by Anjali Thakur  | Thursday November 10, 2022                                                        
                                                        ",The dutch influencer often shares funny videos and posts on her social media handles.
Comedian Vir Das's Bengaluru Show Cancelled After Right-Wing Group Objects,"
															Edited by Ashutosh Tripathi  | Thursday November 10, 2022                                                        
                                                        ","Stand-up comic Vir Das's Bengaluru show, set to open today, has been cancelled, the artist announced on Instagram."
Sharad Pawar Not To Join Congress's Bharat Jodo Yatra Citing Health Issues,"Asian News International   | Thursday November 10, 2022, Mumbai                                                        
                                                        ","Nationalist Congress Party (NCP) chief Sharad Pawar will not join the Congress's Bharat Jodo Yatra on November 11 as he is in the hospital right now, said Congress General Secretary Jairam Ramesh."
"Hurricane Nicole, Rare November Storm, Makes Landfall In Florida, Airports And Schools Shut","
															Edited by Amit Chaturvedi  | Thursday November 10, 2022                                                        
                                                        ","Nicole is just the fourth hurricane to make landfall in the mainland US in the month of November since the mid-19th century, and the first to do so in 37 years."
Centre Likely To Simplify Capital Gains Tax Sytem: Report,"
															Edited by NDTV Business Desk  | Thursday November 10, 2022, New Delhi                                                        
                                                        ",The central government could make changes to the current capital tax regime to simplify the system. This may include rationalisation of multiple holding periods and bringing parity within asset classes.
AP ICET Counselling 2022: Final Phase Document Verification Ends Today; Allotment Result On November 14,"
															Written by Arpita Das  | Thursday November 10, 2022                                                        
                                                        ",The AP ICET 2022 counselling final phase seat allotment result will be declared on November 14 on the official website of AP ICET- icet-sche.aptonline.in.
"5 Killed In Fire At Fireworks Godown In Madurai, Rescue Underway","
															Written by J Sam Daniel Stalin  | Thursday November 10, 2022, Chennai                                                        
                                                        ",At least five people were killed Thursday in a fire at a fireworks godown at Thirumangalam in the Madurai district of Tamil Nadu.
"What Malaika Arora Really ""Said Yes"" To - Wait, What Did You Think She Was Talking About?","
															Written by Pranita Chaubey  | Thursday November 10, 2022, New Delhi                                                        
                                                        ","""Umm, wait, what did you guys think I was talking about,"" asked Malaika Arora"
Courts In This City Suspended Work For India-England T20 World Cup Match,"
															Edited by Sanjib Kumar Das  | Thursday November 10, 2022, Patiala                                                        
                                                        ","Just ahead of the do-or-die clash in Adelaide, District Bar Association of Patiala announced that all work at the district courts shall remain suspended after lunch in view of the T20 World Cup match"
Watch: Hardik Pandya's Massive Sixes vs England In T20 World Cup Semifinal,"NDTV Sports Desk   | Thursday November 10, 2022                                                        
                                                        ","All-rounder Hardik Pandya was at his best with the bat in hand as he played a quickfire knock of 63 runs off 33 balls, studded with 4 fours and 5 sixes"
"Natasa Stankovic Cheers As Hardik Pandya Goes Berserk In Death Overs, Pictures Go Viral","NDTV Sports Desk   | Thursday November 10, 2022                                                        
                                                        ","While Hardik Pandya was batting in the middle, his wife Natasa Stankovic was cheering for him and the Indian team from the stands"
